1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
CMD,GMHI,,,,,,GMWI2,,,,,,MIJAM(6182),,,,,,MIJAM(4323),,,,,,MIJAM(6182)10-fold,,,,,,MIJAM(75 features),,,,,,MIJAM(6182),,MIJAM(4323),,MIJAM(6182)10-fold,
,TRAIN,,,TEST,,,TRAIN,,,TEST,,,TRAIN,,,TEST,,,TRAIN,,,TEST,,,TRAIN,,,TEST,,,TRAIN,,,TEST,,,,,,,,
TO,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,BACC,H+,H-,V1,V2,V1,V2,V1,V2
4,64.7079972,59.90318677,69.51280763,58.86631016,58.90909091,58.82352941,73.67,76.16,71.17,70.71,66.52,74.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,64.88374074,60.16949153,69.59798995,62.98962005,56.15942029,69.81981982,73.49,76.63,70.35,74.89,74.77,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,64.05146809,59.6448749,68.45806128,64.59685881,59.05797101,70.13574661,73.7,77.28,70.12,72.02,71.95,72.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,64.26268957,58.20895522,70.31642391,60.17523653,57.45454545,62.8959276,73.75,76.52,70.97,72.04,63.35,80.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,63.85738446,58.15173527,69.56303365,65.36658142,60.14492754,70.58823529,73.46,76.59,70.32,72.7,69.68,75.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,63.76892871,59.98386446,67.55399297,68.60304401,62.54545455,74.66063348,73.88,76.48,71.27,72.56,72.4,72.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,63.9694505,58.87812752,69.06077348,64.36979474,57.24637681,71.49321267,74.05,76.63,71.47,70.71,66.06,75.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average,64.15,58.9,69.41,63.96,58.75,69.17,73.27,76.48,70.04,72.05,68.58,75.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO+PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,71.39,73.34,69.45,73.36,76,70.72,76.34,77.41,75.28,75.74,76.58,74.91,80.5,84.67,76.33,81.5,83.27,79.73,,,,,,,,,,,,,,,,,,,,,,,,
2,71.42,70.31,72.53,70.15,66.55,73.76,79.8,80.23,79.36,77.65,76.02,79.27,81.07,84.39,77.75,76.56,80.73,72.4,,,,,,,,,,,,,,,,,,,,,,,,
3,71.47,69.06,73.88,72.37,68.73,76.02,79.54,79.67,79.41,78.27,79.81,76.73,80.98,84.27,77.7,78.42,80.36,76.47,,,,,,,,,,,,,,,,,,,,,,,,
4,71.86,69.38,74.33,70.02,67.64,72.4,80.18,80.15,80.21,76.01,74.21,77.82,81.2,84.55,77.85,76.06,79.27,72.85,,,,,,,,,,,,,,,,,,,,,,,,
5,72.19,70.26,74.12,68.6,65.58,71.62,80.5,81,80,74.8,75.68,73.91,81.52,84.91,78.14,74.71,76.45,72.97,,,,,,,,,,,,,,,,,,,,,,,,
6,71.5,68.93,74.08,72.84,71.01,74.66,76.16,77.08,75.24,74.79,75.68,73.91,81.07,84.58,77.55,77.37,81.88,72.85,,,,,,,,,,,,,,,,,,,,,,,,
7,71.79,73.86,69.71,71.99,77.45,66.52,76.26,76.93,75.6,75.52,69.23,81.82,80.46,84.03,76.9,78.66,87.64,69.68,,,,,,,,,,,,,,,,,,,,,,,,
8,71.31,70.9,71.72,73.11,72.46,73.76,76.84,77.28,76.39,73.16,70.59,75.72,81.4,85.11,77.7,77.1,82.25,71.95,,,,,,,,,,,,,,,,,,,,,,,,
9,71.6,70.27,72.93,69.88,68.73,71.04,79.78,79.95,79.61,77.63,79.98,75.27,81.23,84.55,77.9,78.83,80.73,76.92,,,,,,,,,,,,,,,,,,,,,,,,
10,71.59,71.55,71.62,72.61,72.83,72.4,80.22,80.43,80.01,77.73,76.47,78.99,81.49,84.83,78.15,78.27,83.7,72.85,,,,,,,,,,,,,,,,,,,,,,,,
Average,71.61,70.79,72.44,71.49,70.7,72.29,78.56,79.01,78.11,76.13,75.43,76.84,81.09,84.59,77.6,77.75,81.63,73.87,,,,,,,,,,,,,,,,,,,,,,,,
