All features,,,,,,,,,,,,,,,,,,
study,disease,Disease Sample Size,healthy sample size,results,module,module_size,auroc,mean_shuffled_auroc,sd_shuffled_auroc,inter_view_corr,mean_shuffled_inter_view_corr,T,P,Z_Score_AUC,Empirical_P_value,FDR_Adjusted_P,AUC_vs_Random_Improvement,Corr_vs_Random_Diff
GuptaA_2019,CRC,30,30,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module4,3,0.796944444,0.755945847,0.067666398,0.875485843,0.149019011,2,1,0.605893002,0.272292903,0.427758127,0.054234833,0.726466832
HMP_2019_ibdmdb,CD,567,363,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,8,0.552347174,0.564564632,0.029036249,0.40143896,0.095830769,4,4,-0.420765713,0.663036914,0.718289991,-0.021640495,0.305608191
HMP_2019_ibdmdb,CD,567,363,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module2,7,0.759919962,0.564510999,0.030088121,0.200837465,0.091716066,3,4,6.49455521,4.16E-11,1.08E-09,0.346156166,0.109121399
HMP_2019_ibdmdb,CD,567,363,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module3,8,0.592703145,0.559648306,0.024130102,0.153091682,0.089521461,4,4,1.369859066,0.08536545,0.1707309,0.059063592,0.063570221
HMP_2019_ibdmdb,UC,387,363,keep_4//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,4,0.583752191,0.569907258,0.037779363,0.577429973,0.095449321,2,2,0.366468143,0.35700789,0.488537113,0.024293309,0.481980652
HMP_2019_ibdmdb,UC,387,363,keep_4//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module2,10,0.764969829,0.575318253,0.040880003,0.165925569,0.09324692,7,3,4.639226078,1.75E-06,9.09E-06,0.329646374,0.072678649
IjazUZ_2017,CD ,38,32,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,6,0.973469388,0.744767402,0.060567163,0.361901171,0.109990587,3,3,3.776006249,7.97E-05,0.00029596,0.307078405,0.251910584
KarlssonFH_2013,IGT,49,43,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,3,0.677046032,0.676290031,0.027515173,0.784351893,0.105796102,2,1,0.027475786,0.489040126,0.605478252,0.001117865,0.678555791
KarlssonFH_2013,IGT,49,43,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module2,5,0.730524603,0.678860061,0.021316337,0.510592672,0.093364267,2,3,2.423706381,0.007681511,0.022191031,0.076104848,0.417228405
KarlssonFH_2013,T2D,53,43,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,26,0.701393651,0.655376279,0.021690042,0.182533858,0.091501945,13,13,2.121589806,0.0169361,0.044033859,0.070215193,0.091031913
NagySzakalD_2017,ME/CFS,50,50,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,5,0.646280952,0.649175241,0.019508119,0.774346362,0.093579069,2,3,-0.148363305,0.558971971,0.655932156,-0.004458409,0.680767293
NagySzakalD_2017,ME/CFS,50,50,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module2,6,0.691078571,0.650517003,0.022539294,0.708044601,0.093085002,3,3,1.799593545,0.035962421,0.085002085,0.062352818,0.614959599
NagySzakalD_2017,ME/CFS,50,50,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module3,5,0.742330952,0.649677405,0.019951306,0.387462782,0.09754753,1,4,4.643984058,1.71E-06,9.09E-06,0.142614698,0.289915252
RubelMA_2020,STH,82,85,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,17,0.723792929,0.597033414,0.021878035,0.410599649,0.079853805,8,9,5.793916821,3.44E-09,2.98E-08,0.212315613,0.330745844
RubelMA_2020,STH,82,85,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module2,18,0.638412879,0.597227476,0.023706425,0.161091831,0.084055322,8,10,1.737309738,0.041166257,0.089193556,0.068960998,0.077036509
RubelMA_2020,STH,82,85,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module3,2,0.632418516,0.609510886,0.039240943,0.777040915,0.071795592,1,1,0.583768591,0.279688006,0.427758127,0.037583627,0.705245323
RubelMA_2020,STH,82,85,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module4,3,0.589347267,0.629454461,0.037542608,0.190818158,0.075962301,2,1,-1.068311344,0.857309953,0.891602352,-0.063717388,0.114855857
RubelMA_2020,STH,82,85,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module5,2,0.640940386,0.633346488,0.054687379,,,2,0,0.138860156,0.444780328,0.578214427,0.011990116,
YuJ_2015,CRC,45,38,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,6,0.801307904,0.683827872,0.019552647,0.245662415,0.100370475,3,3,6.008395283,9.37E-10,1.22E-08,0.171797665,0.14529194
YuJ_2015,CRC,45,38,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module2,2,0.695699708,0.677627261,0.034706871,0.620998558,0.107435142,1,1,0.52071669,0.301282073,0.435185216,0.026670189,0.513563416
ZhuF_2020,schizofrenia,79,79,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module1,3,0.648363089,0.624199097,0.023141914,0.688427047,0.093000561,2,1,1.044165664,0.148204375,0.275236696,0.038711994,0.595426486
ZhuF_2020,schizofrenia,79,79,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module2,4,0.700302591,0.62322154,0.017456757,0.387759838,0.103687248,2,2,4.415542417,5.04E-06,2.18E-05,0.123681622,0.28407259
ZhuF_2020,schizofrenia,79,79,keep_5//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7,module3,5,0.642747884,0.627438173,0.020516502,0.580848127,0.096028033,2,3,0.746214486,0.227768929,0.394799477,0.02440035,0.484820094
