CMD-MIJAM,CMD-MIJAM-frequency,CMD-GMWI2,CMD-GMWI2-frequency,GMHI-MIJAM,GMHI-MIJAM-frequency,GMHI-GMWI2,GMHI-GMWI2-frequency
PWY-622: starch biosynthesis,10,s__Bacteroides_massiliensis,7,PWY-6922: L-N&delta;-acetylornithine biosynthesis,10,s__Lachnospiraceae_bacterium_7_1_58FAA,6
PWY-6263: superpathway of menaquinol-8 biosynthesis II,10,s__Proteobacteria_bacterium_CAG_139,7,PWY-7007: methyl ketone biosynthesis,10,s__Erysipelotrichaceae_bacterium_5_2_54FAA,6
PWY-6281: L-selenocysteine biosynthesis II (archaea and eukaryotes),10,s__Clostridium_sp_CAG_242,7,"PWY-7013: (S)-propane-1,2-diol degradation",10,PWY-5088: L-glutamate degradation VIII (to propanoate),6
PWY-6285: superpathway of fatty acids biosynthesis (E. coli),10,PWY-6285: superpathway of fatty acids biosynthesis (E. coli),7,"PWY-7039: phosphatidate metabolism, as a signaling molecule",10,PWY-5897: superpathway of menaquinol-11 biosynthesis,6
PWY-6415: L-ascorbate biosynthesis V,10,METH-ACETATE-PWY: methanogenesis from acetate,7,PWY-7094: fatty acid salvage,10,PWY-5898: superpathway of menaquinol-12 biosynthesis,6
PWY-6435: 4-hydroxybenzoate biosynthesis V,10,P164-PWY: purine nucleobases degradation I (anaerobic),7,PWY-7196: superpathway of pyrimidine ribonucleosides salvage,10,s__Clostridium_perfringens,6
PWY-6467: Kdo transfer to lipid IVA III (Chlamydia),10,PENTOSE-P-PWY: pentose phosphate pathway,7,PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage,10,s__Gordonibacter_pamelaeae,6
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium),10,PWY-6749: CMP-legionaminate biosynthesis I,7,PWY-7209: superpathway of pyrimidine ribonucleosides degradation,10,PWY-6630: superpathway of L-tyrosine biosynthesis,6
PWY-6549: L-glutamine biosynthesis III,10,"PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II",7,PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,10,"PWY-7039: phosphatidate metabolism, as a signaling molecule",6
PWY-6562: norspermidine biosynthesis,10,s__Turicimonas_muris,7,PWY-7234: inosine-5'-phosphate biosynthesis III,10,"PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type",6
PWY-6572: chondroitin sulfate degradation I (bacterial),10,CRNFORCAT-PWY: creatinine degradation I,7,PWY-7238: sucrose biosynthesis II,10,PWY-7312: dTDP-&beta;-D-fucofuranose biosynthesis,6
PWY-6588: pyruvate fermentation to acetone,10,s__Prevotella_buccalis,7,PWY-7290: Escherichia coli serotype O86 O-antigen biosynthesis,10,PWY-7391: isoprene biosynthesis II (engineered),6
PWY-6595: superpathway of guanosine nucleotides degradation (plants),10,s__Propionibacterium_freudenreichii,6,PWY-7312: dTDP-&beta;-D-fucofuranose biosynthesis,10,s__Parvimonas_micra,6
PWY-6628: superpathway of L-phenylalanine biosynthesis,10,s__Absiella_dolichum,6,PWY-7345: superpathway of anaerobic sucrose degradation,10,s__Acidaminococcus_intestini,6
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate,10,P161-PWY: acetylene degradation,6,"PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II",10,s__Alistipes_putredinis,6
PWY-6748: nitrate reduction VII (denitrification),10,s__Enterococcus_faecalis,6,"PWY-7385: 1,3-propanediol biosynthesis (engineered)",10,s__Clostridium_methylpentosum,6
PWY-6749: CMP-legionaminate biosynthesis I,10,GLUDEG-I-PWY: GABA shunt,6,PWY-7391: isoprene biosynthesis II (engineered),10,s__Bacteroides_dorei,6
PWY-6797: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (archaea),10,s__Butyrivibrio_sp_CAG_318,6,PWY-7392: taxadiene biosynthesis (engineered),10,s__Clostridium_leptum,6
PWY-6803: phosphatidylcholine acyl editing,10,s__Cutibacterium_acnes,6,PWY-7399: methylphosphonate degradation II,10,s__Lactobacillus_mucosae,6
PWY-6823: molybdenum cofactor biosynthesis,10,s__Alistipes_onderdonkii,6,PWY-7456: mannan degradation,10,PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate,6
PWY-6876: isopropanol biosynthesis,10,s__Lactobacillus_salivarius,6,PWY-7616: methanol oxidation to carbon dioxide,10,s__Eubacterium_biforme,6
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase),10,s__Massiliomicrobiota_timonensis,6,PWY-7688: dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis,10,PWY-6415: L-ascorbate biosynthesis V,6
